AD_ID,PRODUCT_ID,ADS_DESCRIPTION,DISCOUNT_RATE,ADS_START_DATE,ADS_END_DATE
7004761,3000052,Willcocks,0.65,3/13/2021,4/7/2021
7000980,3000912,Gibbard,0.74,3/17/2021,4/10/2021
7009052,3000392,Cathie,0.37,3/20/2021,4/1/2021
7000089,3000936,Barritt,0.89,3/18/2021,4/6/2021
7003273,3000974,Crocetti,0.23,3/9/2021,3/15/2021
7004506,3000575,Sogg,0.3,3/16/2021,3/24/2021
7007008,3000567,Cottem,0.38,3/13/2021,4/8/2021
7005520,3000262,Bruster,0.8,3/17/2021,4/1/2021
7006722,3000603,Phillis,0.4,3/18/2021,3/26/2021
7009484,3000122,Shatliffe,0.99,3/8/2021,3/22/2021
7004471,3000851,Branthwaite,0.63,3/8/2021,3/23/2021
7003787,3000636,Hierro,0.86,3/14/2021,3/31/2021
