ORDER_ID,CUSTOMER_ID ,PRODUCT_ID,ORDER_STATUS_ID,PURCHASE_DATE,ORDER_ITEM_QTY,PAYMENT_METHOD
AAU7624,VVRJ3R5,QGD1996,4,8/13/2023,4,1
ABA8525,CZSY7N8,ZRE4647,2,2/5/2023,6,2
ABA8525,CZSY7N8,JMU2959,2,2/5/2023,11,2
ABZ1498,IRHO0B2,CMV8612,3,10/12/2023,4,2
ABZ1498,IRHO0B2,NXH6159,3,10/12/2023,8,2
ABZ1498,IRHO0B2,VCY7285,3,10/12/2023,9,2
ACY1700,YGRM7E7,EAV3155,2,1/4/2023,4,3
ACY1700,YGRM7E7,VEH2926,2,1/4/2023,13,3
ACY1700,YGRM7E7,AFN0451,2,1/4/2023,9,3
ACY1700,YGRM7E7,JHD4163,2,1/4/2023,13,3
ACY1700,YGRM7E7,YMP0407,2,1/4/2023,8,3
ACY1700,YGRM7E7,MJI9477,2,1/4/2023,10,3
AEW0962,YHKK8B9,BSC7668,1,12/1/2024,13,3
AHT1916,CTVA9Y8,MMQ7823,3,11/13/2023,4,2
AHT1916,CTVA9Y8,OVO1196,3,11/13/2023,12,2
AHT1916,CTVA9Y8,OQW2449,3,11/13/2023,12,2
AHT1916,CTVA9Y8,IBI6546,3,11/13/2023,5,2
AJC3923,USDE0B8,SCE1917,3,6/9/2023,5,3
AJC3923,USDE0B8,JGG2172,3,6/9/2023,12,3
AMG2358,QHLZ3J2,ZMF8898,3,8/1/2024,5,3
AMG2358,QHLZ3J2,GKT8277,3,8/1/2024,11,3
AQN7580,ESWY2G8,DDP1991,5,4/27/2023,7,3
AQW3396,GUBJ6O3,MJT7462,2,3/22/2023,9,2
ARJ0528,NKKW4D4,IOX6489,2,6/16/2023,12,1
ARJ0528,NKKW4D4,HJX9248,2,6/16/2023,6,1
ARV6160,XGNM1P7,JRN9502,2,1/5/2023,5,1
ARV6160,XGNM1P7,KHX0869,2,1/5/2023,8,1
ARV6160,XGNM1P7,YYR0411,2,1/5/2023,13,1
ARV6160,XGNM1P7,VII7986,2,1/5/2023,6,1
ARV6160,XGNM1P7,TDQ1784,2,1/5/2023,11,1
ASL1593,BGNB3P4,ZIA9163,5,8/23/2023,8,1
ASL1593,BGNB3P4,WFB2792,5,8/23/2023,8,1
ATQ8307,FHLO2B5,VTY4499,3,10/3/2023,6,3
ATQ8307,FHLO2B5,RTY4077,3,10/3/2023,5,3
AVQ9290,ZSCD0P4,RDX4001,1,5/14/2023,5,1
AVQ9290,ZSCD0P4,MVW7437,1,5/14/2023,10,1
AXE9694,MPAZ3E7,YOS1655,5,9/22/2023,5,1
AXE9694,MPAZ3E7,RUT6752,5,9/22/2023,8,1
AZB8941,HPJH7T0,QWO9713,1,3/20/2023,9,2
AZB8941,HPJH7T0,ZFT3765,1,3/20/2023,5,2
BAW8819,ASIR9U6,XGK5815,4,7/14/2023,6,3
BAW8819,ASIR9U6,MZV5079,4,7/14/2023,12,3
BBP1865,EZRR8E5,UEB6961,6,4/15/2023,11,1
BBP1865,EZRR8E5,EET5634,6,4/15/2023,4,1
BBP1865,EZRR8E5,KGV0192,6,4/15/2023,5,1
BBY4291,ZOTS3R1,TBS3859,6,9/5/2023,4,1
BBY4291,ZOTS3R1,SCE1917,6,9/5/2023,11,1
BBY4291,ZOTS3R1,TBN8046,6,9/5/2023,13,1
BDF5840,LQIK0G7,TDN0771,4,12/29/2023,8,1
BDN8933,HDKG0W9,LAD0442,4,12/21/2023,7,3
BDN8933,HDKG0W9,WKM3868,4,12/21/2023,12,3
BDN8933,HDKG0W9,REJ4097,4,12/21/2023,9,3
BDU8549,NMOI7G5,SJJ9103,1,7/25/2023,9,3
BDZ0133,HVDH7Q6,GYC4826,4,5/21/2023,8,3
BDZ0133,HVDH7Q6,VTY4499,4,5/21/2023,8,3
BED1114,GHJA1F7,YEH2289,3,5/16/2023,8,1
BED1114,GHJA1F7,EFN3382,3,5/16/2023,13,1
BED1114,GHJA1F7,VTM7291,3,5/16/2023,5,1
BED1114,GHJA1F7,DWP3912,3,5/16/2023,4,1
BFS2896,UAXO0I9,CJO7340,3,10/30/2023,10,1
BFS2896,UAXO0I9,BYM1659,3,10/30/2023,9,1
BFS2896,UAXO0I9,IFX0329,3,10/30/2023,5,1
BFS2896,UAXO0I9,MJF4544,3,10/30/2023,12,1
BHD8702,PEGQ0D0,KTE3204,4,2/17/2024,13,1
BJV5891,AGLQ5S6,SDD4582,1,11/27/2023,4,3
BMP7298,TCYG6K8,CJO7340,6,3/12/2023,12,2
BMP7298,TCYG6K8,EJZ6034,6,3/12/2023,8,2
BMP7298,TCYG6K8,RFD3799,6,3/12/2023,6,2
