ORDER_ID,ORDER_STATUS_ID,PURCHASE_DATE,PAYMENT_METHOD_ID
4000277,6,11/5/2023,3
4000561,5,11/28/2023,3
4000586,3,2/28/2024,3
4000726,5,1/2/2024,2
4000790,6,10/9/2023,1
4001007,5,11/12/2023,1
4001071,5,10/23/2023,2
4001190,6,11/23/2023,1
4001309,6,12/11/2023,1
4001493,5,12/7/2023,2
4001613,6,1/13/2024,1
4001631,5,12/22/2023,1
4001748,5,2/9/2024,2
4001844,5,1/25/2024,2
4001867,6,2/23/2024,2
4001909,6,2/6/2024,2
4001931,5,10/28/2023,2
4001946,6,10/29/2023,3
4001974,6,2/13/2024,1
4002055,6,1/15/2024,2
4002238,5,10/13/2023,2
4002289,5,2/6/2024,2
4002335,6,10/13/2023,2
4002342,6,1/19/2024,2
4002416,6,2/18/2024,2
4002422,5,10/23/2023,1
4002483,5,12/28/2023,2
4002510,6,10/15/2023,2
4002583,5,10/20/2023,2
4002835,5,2/7/2024,1
4003042,5,11/24/2023,2
4003046,5,1/23/2024,3
4003140,6,10/10/2023,1
4003185,5,1/28/2024,1
4003361,6,1/19/2024,3
4003595,5,2/6/2024,3
4003769,6,11/25/2023,1
4003790,6,10/30/2023,1
4003860,6,12/7/2023,1
4004023,6,12/6/2023,2
4004053,5,1/20/2024,3
4004198,6,2/21/2024,3
4004311,5,12/11/2023,3
4004432,5,10/21/2023,1
4004524,5,11/18/2023,2
4004547,6,2/24/2024,1
4004613,5,12/20/2023,1
4004680,4,2/28/2024,2
4005045,5,10/28/2023,3
4005370,6,1/10/2024,1
4005376,4,3/1/2024,2
4005449,5,2/2/2024,3
4005489,6,11/20/2023,2
4005624,6,10/15/2023,1
4005834,6,12/29/2023,2
4005954,6,10/28/2023,3
4006117,6,10/11/2023,2
4006188,5,10/26/2023,3
4006203,5,1/10/2024,1
4006225,5,11/16/2023,3
4006309,5,12/31/2023,1
4006358,5,11/3/2023,3
4006395,5,1/26/2024,1
4006428,6,11/21/2023,3
4006599,6,1/21/2024,2
4006900,1,2/27/2024,2
4007155,6,11/5/2023,1
4007357,5,1/16/2024,2
4007395,6,1/20/2024,2
4007704,6,12/30/2023,1
4007824,5,10/30/2023,2
4007842,6,12/8/2023,2
4007879,5,2/16/2024,3
4007921,6,2/12/2024,2
4007951,5,1/13/2024,3
4008045,5,11/27/2023,3
4008075,6,1/4/2024,3
4008173,6,11/1/2023,2
4008361,6,1/3/2024,1
4008414,6,2/3/2024,2
4008733,6,1/25/2024,1
4008770,6,10/25/2023,3
4008780,5,10/23/2023,2
4008789,6,1/15/2024,2
4008813,6,10/23/2023,1
4008819,6,11/10/2023,3
4008894,6,12/7/2023,2
4008912,5,11/20/2023,1
4009109,6,1/11/2024,1
4009135,5,10/4/2023,3
4009153,5,1/11/2024,1
4009271,5,2/25/2024,3
4009313,6,1/17/2024,3
4009363,6,10/28/2023,2
4009448,1,3/1/2024,3
4009499,6,12/7/2023,3
4009571,5,2/14/2024,3
4009624,5,2/8/2024,1
4009687,6,12/8/2023,1
4009765,6,1/7/2024,1
