PRODUCT_ID,CATEGORY_ID,SUPPLIER_ID,PRODUCT_NAME,PRODUCT_DESCRIPTION,PRODUCT_PRICE,PRODUCT_QTY_AVAILABLE
NPS9249,C5,MMXI4868,Wine - Baron De Rothschild,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",32,9
REJ4097,B2,JUIG5052,"Tart Shells - Sweet, 4","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",49,18
BXE5932,C8,ZEPP9882,Muskox - French Rack,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",94,53
RVM2408,C8,SCFH5900,Cheese Cloth No 100,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",98,63
NJJ9939,A2,DOFC2844,Pork Loin Bine - In Frenched,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,100,44
KHK7419,A2,JDUH5608,French Kiss Vanilla,Phasellus in felis. Donec semper sapien a libero. Nam dui.,83,64
ZVY4912,B5,EWQO8499,Trueblue - Blueberry,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,83,26
BDA6428,A1,KIBP3250,Wine - Penfolds Koonuga Hill,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",69,92
KNS5204,B8,AWCR0564,Bread - Sour Sticks With Onion,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",63,43
ZIK6489,B3,DLYZ0769,Wine - Riesling Alsace Ac 2001,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",20,37
ZUF5858,C2,UWNO9753,Raisin - Dark,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,3,18
VBE5131,C8,HGZJ2546,"Yogurt - Raspberry, 175 Gr",In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,7,43
JAT3204,B4,HFEK0675,Bread - Mini Hamburger Bun,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,38,46
GES9511,B8,UCLB9935,Garbage Bags - Black,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",34,75
NZT3646,C5,QPOE5721,Sugar - Monocystal / Rock,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,35,74
QZJ9895,B2,ENJR3088,Bread - 10 Grain Parisian,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,55,93
KJC4921,B2,WGUD5071,Broccoli - Fresh,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,45,22
WMK0630,C10,DYGD3190,"Star Anise, Whole",Sed ante. Vivamus tortor. Duis mattis egestas metus.,13,27
KKE9010,A5,BVHB8608,Beef - Ground Lean Fresh,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",6,53
XGK5815,A1,KRJW4551,Potatoes - Idaho 100 Count,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",37,20
ENO0237,C10,WNDL1920,Lamb - Bones,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,80,18
KBZ7166,C8,NYGN0506,Vinegar - Tarragon,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",24,54
FEQ6805,A5,HSIU7566,Wine - Segura Viudas Aria Brut,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",49,91
NIP2847,C6,MEKK1447,Venison - Denver Leg Boneless,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",21,52
LAS9812,B3,RXTC1540,Potatoes - Idaho 100 Count,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,22,32
FMJ6489,B8,KRCY9597,Tea - Grapefruit Green Tea,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",91,73
BPP8213,C9,UCLB9935,Duck - Legs,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,34,21
QZG1372,A1,QPQB1997,Coriander - Ground,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,98,26
AWV3895,C5,BEFC7024,Anchovy In Oil,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",11,60
EUD9082,C6,CQGJ0452,Salt - Seasoned,Phasellus in felis. Donec semper sapien a libero. Nam dui.,22,41
DXK7920,C10,RMFC5346,Potatoes - Mini Red,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",54,76
TYZ7548,B4,DWNT6681,Miso - Soy Bean Paste,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",90,90
DFM2559,C7,TXCV9530,Bagelers - Cinn / Brown Sugar,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,75,39
JLQ2707,A2,FMZW1614,Pernod,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,43,79
IHY1629,C1,KBUN8076,"Pasta - Tortellini, Fresh","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",8,42
