SHIPPING_ID,ORDER_ID,SHIPPING_NAME,DISPATCH_DATE,DELIVERY_DATE
I7939,EEA6804,Daniel LLC,,
V5069,VBR2452,Boyle Group,,
G8599,QAC3217,Koelpin and Sons,,
Y3789,SXY8308,Lindgren-Rosenbaum,12/29/2023,1/3/2024
L2484,BBP1865,Fritsch Inc,4/15/2023,4/18/2023
C7179,GDM9093,"Schultz, Baumbach and Lebsack",,
E5519,AQW3396,Kunze-Gerlach,,
S6121,BPH3589,Brekke Inc,5/20/2023,5/24/2023
K1752,PYV3641,McKenzie-White,2/22/2024,2/27/2024
Z5096,XMH2884,"Cremin, Hessel and Toy",,
H6750,WYD6294,"Huel, Bayer and Hamill",12/3/2023,12/7/2023
X9960,ZVW3718,Doyle-Leuschke,,
O8189,MWE8281,Baumbach and Sons,,
V4846,VBL0433,Bauch-Fay,,
G9961,DAN7162,Schmidt-Lubowitz,7/10/2023,
U7708,VMZ7147,Hyatt-Herzog,,
Z9928,GXV4084,"Simonis, Schinner and Mills",8/9/2023,8/12/2023
S6562,GYA6242,"Carroll, Crooks and Kiehn",,
Z1807,PWS4210,Mohr Group,3/26/2023,
N2980,ATQ8307,Rice-Lesch,,
V4374,RZO5573,Kihn Inc,,
Y9737,JTL3057,"Koelpin, Heller and Crist",,
B1405,YSM7627,"Zboncak, Abernathy and Little",,
W4622,BQD9807,"Lubowitz, Goldner and Morar",9/23/2023,
J9067,MNJ5454,Bergstrom-Gerlach,8/15/2023,8/20/2023
U9928,OFC6696,Howe Group,,
U3340,KON5869,"Bednar, Turcotte and Stracke",,
W9155,FBK5801,"Larkin, Lebsack and Ruecker",,
O7088,FED7842,Sanford LLC,3/6/2023,
W7061,NUY6871,Fadel Inc,6/14/2023,6/15/2023
V2656,ISE8832,Murazik-Reichel,6/10/2023,6/15/2023
N1869,LUD5724,Walter Group,,
O7741,JIU5547,Ernser Group,3/16/2023,
D4726,STF4095,Hansen-Schaden,1/9/2023,1/11/2023
S0548,MFH4301,Koch and Sons,12/27/2023,
P9052,BFS2896,Kemmer Inc,,
V7819,OYU1382,"Moore, Bauch and MacGyver",,
E7195,NSC5703,Green LLC,1/13/2024,
E6372,YIS8490,Kshlerin-Larkin,11/12/2023,
I0795,WVG4164,Kunde Group,,
A1313,QZM7168,Hills-Monahan,,
V8544,TOV0717,"Dare, Davis and Collins",,
U7241,VCG5028,Willms-Reichel,3/11/2023,
W7882,DWS5835,Bradtke Inc,,
H9763,BXE7460,Gerlach-Abernathy,,
A3328,ENV3553,"Sipes, Koelpin and Hauck",,
R4049,DZY1492,Welch-Glover,,
D3425,ZBI4823,Blick-McLaughlin,,
L7005,AAU7624,Zieme-Tromp,8/13/2023,
B9390,DXX6654,Vandervort and Sons,,
Z3848,BJV5891,"Dare, Sporer and Muller",,
B0649,NZI0052,VonRueden-Hodkiewicz,4/6/2023,4/9/2023
N4887,HYM4991,Lowe Inc,,
S1396,CIX6075,"Stehr, Reilly and Powlowski",,
L2990,UJX2429,Brakus-West,,
U9855,PWZ2106,Gislason Inc,,
V2391,GDX0599,Cole-Adams,,
C7504,JLW6480,Russel-Langworth,,
V8602,DVV5486,"Ankunding, Murray and Frami",,
O4296,DOT2567,"Weber, Thompson and Kreiger",,
I5575,CCZ1363,Upton-Bernhard,,
Q0618,UTK3766,Marks LLC,,
T3098,ACY1700,Douglas-Altenwerth,,
E5951,XQR1522,Purdy-Schoen,,
I6335,XAC1477,Leuschke and Sons,,
Y2655,WHZ5776,"McLaughlin, Baumbach and Nienow",,
C8576,DIX9931,Erdman-Keebler,,
D8003,MGA4556,Stamm-Jaskolski,,
L9778,GBZ3203,"Sipes, Medhurst and Marvin",,
P4761,LPQ8315,Konopelski-Purdy,9/3/2023,9/8/2023
S2158,DZL3095,"Kassulke, Schamberger and Ferry",10/18/2023,10/22/2023
D8359,OCI4595,Schulist LLC,3/28/2023,3/29/2023
U8798,EWU9181,Greenholt-Schumm,,
Y6754,YUT8041,Altenwerth-Pfeffer,5/13/2023,5/18/2023
L4861,RMT9146,Ortiz-Sporer,,
G9478,FUY0860,Dibbert-Lubowitz,,
N3879,EFO5972,"Johnson, Quitzon and Lang",12/6/2023,12/10/2023
Z7193,BTO5765,White-Torphy,,
O6080,DLP9456,Swaniawski-Wiza,,
B6809,NOS5883,Kozey and Sons,8/30/2023,9/4/2023
B2798,THP3419,Smitham-Hegmann,,
B3961,JBV6118,"Lind, Morar and Krajcik",6/13/2023,6/18/2023
Q0046,DDD3211,Dooley and Sons,,
N6982,IKA7189,"Sauer, Larkin and McCullough",,
J5201,IHD9768,Grimes LLC,,
I2609,BMP7298,Hettinger-Prohaska,3/12/2023,3/17/2023
Z3963,ZOF1249,Conroy Inc,,
P2658,JHO6848,Berge Inc,11/7/2023,11/9/2023
U3477,SMQ5986,"Lind, Ebert and Goodwin",1/6/2023,
U6536,ABZ1498,Ebert-Goodwin,,
V0845,HMX9786,"Kihn, Monahan and Zieme",9/28/2023,
Y7443,WSE0720,Nienow Inc,,
E3530,LUF9964,"Prosacco, Hirthe and Hartmann",,
N6157,CBZ1622,"Sauer, Kihn and Tillman",11/12/2023,11/16/2023
W3170,NAN8398,Terry-D'Amore,4/5/2023,
G7445,XKV5815,Schinner-Reynolds,,
J0859,OZK1626,"Cole, Grimes and Dibbert",9/16/2023,
N3937,PMK5838,Abbott-Heathcote,9/30/2023,
F7759,OUV0819,Goodwin LLC,,
B5403,UKP6404,Runte-Connelly,,
F3727,UME5888,Reichert-Purdy,3/24/2023,
R7914,AVQ9290,Zieme Inc,,
M2125,FEI0996,Waelchi-Luettgen,,
K5595,XPM5354,"Predovic, Bruen and Hoeger",,
O7350,QLS1719,"Ernser, Hirthe and Goyette",,
I5127,LRN0189,"Green, Reilly and Larson",,
H1705,BYH2467,"Conroy, Donnelly and Nicolas",,
S5681,EOG0985,"Herzog, Wilderman and Raynor",,
C9444,BDN8933,Mills-Jenkins,12/21/2023,
V7274,AMG2358,Harvey and Sons,,
S2116,ERK1851,"Rogahn, O'Reilly and Kuhlman",6/7/2023,6/8/2023
A9600,SZM6886,Wiza-Mitchell,6/5/2023,6/6/2023
C0457,NLA4618,Becker-Koss,1/6/2023,1/10/2023
Q0166,KJH1023,Dickens-Kuphal,5/11/2023,
L6803,WLZ5029,"Will, Bradtke and West",12/9/2023,12/13/2023
