SUPPLIER_ADRESS_ID,POSTCODE,CITY,COUNTRY
CZ47,4875,Dobdoban,TH
RQ81,3288,Tsaghkahovit,MK
VT59,5205,Yelizovo,NG
RN41,4045,Gaohong,TR
PW06,1647,Farah,IT
SK05,4175,Breves,PK
TG70,3158,Necochea,SE
AR11,1620,Protvino,NL
CG23,2193,Borovskoy,GR
DP55,2155,Sanli,VE
XL89,2628,Sondo,CU
ZD21,5118,Mangarine,MD
FP42,3627,Gaotuo,MQ
FT67,5244,Cambuga,PL
YK94,1427,Liliba,BY
IG12,3183,Tuoshi,HN
FK26,1477,Sukoreno,KZ
MT48,1767,Khanabad,NZ
UT27,4191,Qitao,AR
VJ54,2826,Changliu,TR
PY88,3613,Huangjiazhai,PK
OS37,1299,Viradouro,CI
YN21,4533,Silago,BR
ZO38,1509,Sidomulyo,CI
LB68,2004,Bagumbayan,SY
XI84,3581,Ursus,MX
OR49,1562,Orodo,AU
PZ16,2041,Austin,RU
UM76,3366,Vientiane,ID
MN59,5374,Rongxi,AM
RI92,4191,Qitao,AR
XM56,3013,Cibeureum,NL
VL74,2290,Solok,US
ME11,3090,Phoenix,HR
HQ46,4086,Toledo,CN
AL63,1635,Honoria,PK
TG65,1512,Shuicha,UG
PN02,1472,Langkaplancar,MM
UY67,2473,Mostovskoy,CA
NN34,3478,Boulaide,AM
SJ49,4643,Cheping,BR
EC70,2898,Nyandoma,FI
CG17,1811,Babakan,CI
LA60,3449,Waldbredimus,NL
JP34,3402,Tignoan,CI
ZB75,3958,Luhanka,UA
LO48,3604,Ruse,MM
BJ58,4872,Stupsk,IN
RQ69,4494,Zhengwan,ID
TB93,1311,Plovdiv,PH
HE26,5380,Pizhanka,FI
CS81,3441,Eldoret,KZ
KR12,3267,Huangsha,CN
PF84,5165,Muskegon,PL
KJ51,2453,Trondheim,SE
GY91,2136,Dajin,NL
KZ75,4292,Vaitogi,FI
DW77,3250,Chaplygin,NG
HR99,5125,Changting,LT
AW15,2404,Suining,CU
LI95,3114,Panzhuang,KZ
CX68,1335,Bianba,MN
AJ31,1751,Bacong,PE
OZ76,4905,Ossora,MX
TR57,3745,Fonadhoo,UG
YY70,2689,Huangyang,RU
JS34,4723,Gunziying,MN
AO88,2125,Sotnikovskoye,VE
RK11,2708,Nangkasari,VN
WD46,1505,Kanluran,UK
PN47,4571,Nan,GR
WJ83,4974,Kramfors,MQ
MJ62,3762,Tekeli,YE
VZ56,4989,Chimichagua,VN
QC02,4575,Warnes,GR
HW40,5335,Kemang,PL
YM65,4140,Lijia,HN
HB90,3111,Kanbe,TN
NP90,2194,Huangtian,MN
JU82,3046,Cipesing,CI
QC45,5226,Bulgan,MX
QD52,3234,Shilipu,NZ
KF63,2779,Dolores,AM
YL28,2297,Guandu,UA
ZL67,4479,Nekrasovka,HN
LD10,3820,Bagacay,FR
NI02,2297,Guandu,UA
XN07,2524,Bongao,GR
QL87,1127,Riangkroko,PL
MZ83,3210,Rancharia,LT
GL81,3371,Langsepan,UK
TJ39,1314,Liji,GR
WW47,3422,Dologon,FR
NU32,2641,Shanguang,PK
UT87,1175,Altos,PE
MO44,3767,Kostinbrod,MM
UH86,4494,Zhengwan,ID
CC06,5069,Limoges,UY
LP40,5069,Limoges,UY
FS52,3438,Gitega,GR
YD04,1509,Sidomulyo,CI
OS37,2295,Calasgasan,KW
RH35,5206,Charlestown,PL
OX01,4622,Wotan,FR
RK50,4285,Singgugu,CU
GO13,3739,Newton,AM
LO97,4807,Andalan,RU
PO73,5271,Taytayan,BR
GN80,4735,Messejana,SY
YI81,1215,Longquan,PL
ZL52,5322,Ariana,CU
UE67,5212,Lephalale,TN
UJ03,1271,Smolenka,US
OX93,3293,Xingxi,MN
LS10,4845,Tiexi,FR
IO02,2361,Alvesta,AM
HG37,2687,Kiarajangkung,AR
LP18,1369,Daguma,AR
GQ57,5137,Tambaksari,GR
CE40,4246,Jingmen,TR
DV72,4052,Praya,PK
EM95,2847,Amiens,VN
DH55,2992,Ngetkib,KZ
JG65,1255,Langgen,CN
TU65,4933,Ouidah,VE
DS43,4460,Nankou,CD
WV83,1710,Yorosso,VN
KN96,4490,Blois,US
GO82,1233,Danderyd,BY
CX64,2275,Mama,KW
ZN10,4243,Mentaras,FI
ES14,4662,Ufa,UK
WW87,3824,Zaliztsi,SY
FL69,2603,Tanahbeureum,CN
KV07,3205,Kurchatov,AR
WV36,3013,Cibeureum,NL
AF43,4206,Darmasari,MG
QG59,5308,Denver,AM
VY69,2125,Sotnikovskoye,VE
YJ18,5380,Pizhanka,FI
VO10,3962,Wonorejo,UY
XW88,2813,Napoles,UY
DZ06,5037,Langchi,TN
AN42,5060,Urrao,CN
UP90,1566,Falun,TR
YH88,1936,Tateyama,CI
HB26,4771,Palhais,YE
KJ86,5128,Songgai,AR
MZ01,3961,Chuoyuan,RU
NZ21,5127,Kraczkowa,IN
YQ94,3526,Wutongkou,AU
OO40,2242,Buga,ID
HR28,2413,Jargalant,HN
PG61,1551,Quezalguaque,AR
WQ18,4208,Shancheng,RU
PW35,3426,Gananoque,RU
XJ86,3510,Quma,AM
ZK03,3998,Xiaqiao,US
UK96,4134,Potelych,TZ
XJ35,1307,Tantamayo,BR
QA50,2436,Tlogosadang,PL
DT76,4362,Mariscala,UG
GH19,1361,Ylitornio,TN
HO98,2524,Bongao,GR
JK08,3696,Eling,FR
KF54,3323,Lianpeng,AU
LV31,4289,Vyksa,TR
EV01,3650,Giade,AM
CC88,1156,Roriz,PL
UJ67,4252,Angasmarca,TN
QO58,4645,Zhongguan,MK
LN14,2507,Changhao,MK
JY04,4883,Gyumri,FR
SD71,3149,Shanlian,MX
LR26,4207,Narach,YE
CY35,2004,Bagumbayan,SY
BV76,3823,Houston,IT
EC21,2869,Vuokatti,MM
BX57,2687,Kiarajangkung,AR
XZ74,4100,Yehud,FI
DA32,2783,Savonranta,BR
GG92,3609,Cilongkrang,IN
IB59,4892,Charlotte,US
BJ86,3375,Baloc,BR
XF41,3397,Ngudu,MD
HF50,3062,Mizunami,GR
VM36,2505,Kudus,IT
BT07,3286,Chignayhua,NL
XJ35,5112,Kundung,FR
AW55,5157,Dongsheng,UG
BI56,4623,Marseille,US
OB42,5048,Vylkove,MQ
WB63,3739,Newton,AM
PS50,3595,Madrid,PK
WS23,2232,Amphawa,LT
NY19,5031,Mikhaylovsk,CI
AM71,2928,Paombong,NZ
BO99,4248,Chapultepec,ID
HK82,1344,Erpeldange,NZ
EX77,3627,Gaotuo,MQ
FK45,3149,Shanlian,MX
CX58,3678,Brondong,RU
QB88,3603,Pavlovka,MN
ZF54,2956,Palermo,PE
CY26,3270,Tangzhuang,TR
ME79,1836,Lingdi,IN
VK41,3654,Dongtundu,MD
LP98,3013,Cibeureum,NL
CP62,4112,Guanting,UY
ON97,5311,Calaya,PL
BA05,5082,Jingguan,CI
BE68,1666,Pacar,AR
ME86,2386,Akashi,TN
MH62,2273,Melres,SE
PX98,1179,Huangjinjing,UA
TH72,5133,Nianqiao,NL
NG25,3051,Paipu,IN
AL81,5185,Poja,KW
OP63,4853,Angono,MK
VJ40,3885,Cabean,US
IL69,1335,Bianba,MN
EU84,3742,Kurmuk,FI
BF82,3109,Beishidian,AR
KM19,2800,Karanganyar,VN
RU16,2087,Marolambo,LT
BP11,3755,Gondang,PH
FK74,2153,Babica,TN
LU72,3295,Boyarka,PL
BR46,1524,Glugu,TR
CO09,1544,Hujigou,ID
EQ79,2686,Succha,KW
HY56,1551,Quezalguaque,AR
RT23,1956,Jindui,UY
II21,2617,Thamaga,MN
ZX50,3119,Visby,KZ
FP81,3609,Cilongkrang,IN
NW89,4749,Ortiga,IN
XR58,1878,Haokou,AM
CK49,1878,Haokou,AM
EG46,2538,Wuda,CA
OV94,2429,Tysmenychany,AM
SU08,4677,Hengling,UK
QH42,1924,Wysoka,VN
FU28,4173,Paritaman,YE
PN80,4292,Vaitogi,FI
ZP26,4266,Gununglarang,UK
BB91,1324,Sizao,HR
BS57,2413,Jargalant,HN
KS35,3411,Mangochi,NG
QU19,3178,Kalnibolotskaya,HN
CA93,4822,Timaru,LT
