AD_ID,PRODUCT_ID,ADS_DESCRIPTION,DISCOUNT_RATE,ADS_START_DATE,ADS_END_DATE
710TAA814,XHX5390,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0.16,2023-09-06 23:31:52,2023-10-29 18:43:55
641NYD487,EMD7020,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0.25,2023-10-07 11:00:33,2023-11-14 06:33:12
836GPG374,VCL5985,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,0.21,2023-08-21 01:58:15,2023-11-26 02:18:01
155UZX003,LMB5890,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0.43,2023-09-25 02:58:18,2023-10-10 05:14:49
623NYY283,PKK7027,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",0.24,2023-10-24 03:51:28,2023-12-10 20:57:29
568UNG510,ZGO1202,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0.23,2023-08-23 13:22:13,2023-10-31 13:39:56
157JML909,TBN8046,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0.32,2023-11-27 21:29:16,2023-12-08 05:17:31
840ZYA715,APE7490,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",0.15,2023-10-17 19:14:35,2023-11-24 19:39:35
362GFP859,KYE7390,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0.23,2023-11-05 23:21:02,2023-12-01 21:13:11
819ZLG887,XTS5189,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",0.13,2023-11-25 15:29:31,2023-12-24 03:19:32
889RQX153,ALN9780,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0.36,2023-11-19 16:09:52,2023-11-21 21:43:00
147VRP022,BTY6441,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0.15,2023-08-21 14:01:33,2023-11-25 10:02:45
653MMB561,KSY7054,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",0.14,2023-09-27 21:26:51,2023-12-11 22:59:52
658BJV878,LYG1832,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",0.2,2023-12-29 07:25:58,2023-12-30 18:05:19
304LTJ561,XEI6585,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",0.11,2023-10-16 10:50:56,2023-11-20 03:51:42
896TDV481,MJI9477,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0.26,2023-08-19 22:35:04,2023-09-02 00:16:11
335SMQ240,TMI5704,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",0.45,2023-10-13 10:24:11,2023-10-31 11:21:02
644KGB419,FDD1901,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,0.48,2023-10-03 04:55:58,2023-12-28 22:30:17
226UYC937,PPZ0250,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0.44,2023-12-27 23:46:43,2023-12-31 22:12:52
953PTQ255,YLN5371,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",0.18,2023-08-24 14:02:51,2023-11-09 06:50:04
569MCD960,WEX0036,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",0.37,2023-09-05 18:29:58,2023-11-02 06:47:59
295JVL269,CVS9709,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0.32,2023-10-08 08:14:28,2023-12-28 05:53:11
538TJF576,PSF1638,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0.36,2023-11-28 16:40:50,2023-12-15 12:00:14
