POSTCODE,CITY,COUNTRY
5136,Nambalan,MQ
5339,Valencia,RU
2603,Tanahbeureum,CN
2459,Balogo,SY
1673,Boyu,TH
2290,Solok,US
5068,Carvalhal,PH
3601,Otavalo,SE
2884,Jiannan,SY
2226,Bendosari,MD
4815,Anding,UA
3291,Hluhluwe,MG
1383,Kondrovo,UG
2404,Suining,CU
3925,Toyoshina,MX
1562,Orodo,AU
4723,Gunziying,MN
2163,Vis,PH
3661,Bulusari,PL
4865,Mandikbatu,PH
4292,Vaitogi,FI
1911,Sibucao,PE
5271,Taytayan,BR
3241,Vavuniya,NG
2485,Gniechowice,BR
4134,Potelych,TZ
5190,Taekas,GR
2779,Dolores,AM
2416,Atlanta,KW
3618,Asia,MM
3449,Waldbredimus,NL
1335,Bianba,MN
5140,Campamento,LT
3452,Nglorogan,CA
2686,Succha,KW
1928,Saransk,CA
1319,Troyes,SY
4099,Dulian,TZ
2406,Sanquan,KW
5267,Nivnice,CU
3109,Beishidian,AR
1397,Qincheng,CU
3696,Eling,FR
2384,Mirotice,RU
4047,Rejoagung,HR
2544,Cube,UA
4266,Gununglarang,UK
3803,Kuantian,PL
1531,Longwei,NZ
1710,Yorosso,VN
1260,Mathambgwane,MD
3442,Kengkou,TR
4797,Dete,VE
1132,Dukhovnitskoye,FI
3744,Longfengba,VN
1205,Chengshan,BY
1466,Manouba,GR
1160,Krasnoye,FI
3327,Jingxi,SE
2584,Talisayan,AU
1324,Sizao,HR
1637,Fengli,MM
1539,Svilajnac,AR
2724,Gotputuk,SE
2745,Ledok,NL
4034,Sampangbitung,UY
3295,Boyarka,PL
1878,Haokou,AM
3726,Catac,MX
1866,Kambia,AR
3146,Haoba,BR
3438,Gitega,GR
4082,Namasuba,UG
3023,Aganan,MQ
2493,Pilaya,MX
5322,Ariana,CU
3678,Brondong,RU
2813,Napoles,UY
4243,Mentaras,FI
2034,Udobnaya,UG
1983,Tanbu,PE
5024,Rambatan,AU
1836,Lingdi,IN
2242,Buga,ID
2950,Uralets,UA
3178,Kalnibolotskaya,HN
4239,Rashaant,AR
1709,Andradas,CN
1895,Podwilk,US
2940,Paciran,AM
3332,Dongjiahe,BR
3800,Koshki,MQ
4986,Buzdyak,PH
3285,Konosha,PK
2954,Leceia,AM
2444,Coutada,PE
3756,Tanggu,PL
4546,Sundsvall,UY
1944,Wanganui,VE
2436,Tlogosadang,PL
1830,Coyaima,MD
4643,Cheping,BR
4062,Perjuangan,UA
4908,Sumberngerjat,IN
5388,Corgo,PK
5082,Jingguan,CI
3211,Lagayan,MX
4663,Xiakou,CU
4155,Motala,PE
3950,Talodi,PH
1936,Tateyama,CI
1805,Cisewu,UK
3375,Baloc,BR
1731,Bobrov,MD
4577,Pyatigorskiy,AR
3939,Sandefjord,CN
1168,Arteni,KW
4112,Guanting,UY
2776,Azua,KZ
3818,Coquitlam,TH
3298,Cisek,MX
2155,Sanli,VE
4946,Pasar,SY
5378,Amieiro,UG
4206,Darmasari,MG
3717,Rungis,TH
2245,Kimberley,VE
1578,Uzgen,PH
5151,Gardanne,RU
3326,Donggaocun,UK
1560,Gorzkowice,PK
3604,Ruse,MM
2323,Kruty,US
2716,Dasha,SE
4278,Belfort,YE
4765,Sanqiao,MN
3029,Kotauneng,BY
1161,Drammen,US
5308,Denver,AM
4214,Maubasa,UA
2641,Shanguang,PK
4376,Dabu,AM
1591,Kouango,HR
4601,Berlin,AU
2112,Kiten,NL
4729,Guishan,CU
3402,Tignoan,CI
5214,Markivka,HR
4535,Cruz,CA
3493,Hongshanzui,AU
5208,Xiongzhou,UK
4494,Zhengwan,ID
2689,Huangyang,RU
1840,Itacorubi,HN
4125,Duran,IN
3249,Tucdao,KW
1635,Honoria,PK
5250,Futian,US
3869,Raoyang,MN
2869,Vuokatti,MM
3141,Jianxincun,SE
4297,Canto,TZ
2827,Tilburg,CI
4315,Tuntum,LT
3779,Bacnotan,PL
2125,Sotnikovskoye,VE
3446,Ladoeiro,CD
4894,Matanza,BR
4509,Cotabambas,BY
3962,Wonorejo,UY
2953,Przeworsk,TH
5076,Ivanivka,US
4968,Yingshouyingzi,FI
3664,Horta,UA
1975,Jining,UY
4608,Farriar,AR
1343,Tambo,HR
2580,Meukek,VN
4328,Huansheng,SY
5072,Panorama,UY
4087,Penebel,FR
5218,Xinyang,PH
4288,Koson,PH
3090,Phoenix,HR
4853,Angono,MK
4240,Sumberpucung,CA
5170,Jinshan,CD
1215,Longquan,PL
2138,Bendoroto,MN
3896,Gabi,VN
2054,Tashanta,VN
2628,Sondo,CU
5384,Istaravshan,PH
4904,Dahe,YE
5147,Baozhu,AR
4208,Shancheng,RU
2055,Puhja,AM
2299,Ingersoll,SY
2850,Kihangara,KZ
2928,Paombong,NZ
2081,Labuhanjambu,NZ
4168,Petong,IT
2957,Filipowice,MQ
5135,Qinglung,LT
4659,Wattegama,BY
1191,Buturlinovka,NZ
4575,Warnes,GR
3760,Azenha,UG
2215,Purbalingga,FR
1655,Luoqiao,ID
4414,Surkhakhi,CI
1593,Karlskoga,MN
4166,Shangtang,NZ
4284,Potiskum,TR
3603,Pavlovka,MN
2313,Bilbays,MN
4735,Messejana,SY
1483,Zhufo,PE
4622,Wotan,FR
2109,Anjozorobe,US
1237,Inawashiro,RU
2070,Tanabi,UG
1321,Moluo,TR
3086,Iyo,MK
2191,Strzelce,HR
3254,Xinmen,TZ
1915,Avanca,VN
3581,Ursus,MX
3323,Lianpeng,AU
3627,Gaotuo,MQ
5195,Nantai,AU
1772,Lingtou,KW
2231,Longka,IT
2958,Xinyu,ID
3418,Abelheira,HR
2263,Yongqin,PL
2956,Palermo,PE
1307,Tantamayo,BR
2288,Pangian,NG
1852,Dingli,ID
4748,Tuhe,IN
4755,Daying,UG
1239,Sijihong,UY
3278,Pingxiang,PK
2058,Liuxiang,CN
1767,Khanabad,NZ
4769,Lianhua,FI
3716,Lyon,CN
2046,Jintang,UG
4726,Bopu,MX
3148,Gornyak,US
4124,Maoya,AR
4793,Lalagsan,AM
1293,Zuoxi,BY
3243,Sudogda,PK
1865,Zihu,IT
4424,Musawa,GR
3341,Rudy,FR
4223,Vilela,HR
3229,Cikaludan,CA
2780,Lomba,CN
2437,Weixin,FI
3507,Zyablikovo,NG
4140,Lijia,HN
3935,Karangsari,KW
1233,Danderyd,BY
3422,Dologon,FR
1127,Riangkroko,PL
4241,Aimin,SE
2535,Kanshi,NZ
1715,Tapera,TZ
3270,Tangzhuang,TR
3189,Umbuldamar,VE
4875,Dobdoban,TH
4435,Dongzaogang,BY
2234,Lindesberg,IT
2171,Ambovombe,NZ
3152,Carnot,SY
3441,Eldoret,KZ
2742,Anju,TH
4391,Hagerstown,TR
2389,Janja,CD
5304,Xishui,TN
4557,Dortmund,GR
4176,Omoku,KZ
2707,Alvide,AU
3478,Boulaide,AM
3467,Chengjiang,PK
2302,Hougong,BR
2509,Gaoqiao,AU
3272,Kunda,PE
2759,Hoolt,MM
3636,Rennes,CN
4185,Doubrava,BY
3907,Panoongan,MG
4246,Jingmen,TR
2732,Caxias,HN
4638,Carabayllo,AM
4387,Lazdijai,MM
5118,Mangarine,MD
3628,Shatoja,FR
1725,Rongdoi,SY
2531,Dongxiang,MK
4421,Xinghua,MK
1931,Tanjungbatu,TR
1255,Langgen,CN
1864,Senlis,PK
3451,Liloan,PK
3204,Boucinha,VN
1143,Miramar,KW
1863,Owerri,VN
2202,Jiaogong,AM
5032,Dainan,KW
1126,Georgiyevskaya,ID
1981,Vlachovice,KZ
3389,Cotia,MM
2296,Cambebba,HR
5236,Yandev,NG
3698,Amolatar,FI
2892,Shaba,TR
1670,Zielonki,KW
1713,Gusong,HN
1935,Aozai,RU
4654,Meilin,MQ
4657,Manjiang,ID
1869,Wuquan,TN
4805,Arpajon,UA
3158,Necochea,SE
1332,Cimanggu,IT
3998,Xiaqiao,US
1704,Jobabo,LT
3548,Wenquan,UY
2898,Nyandoma,FI
2297,Guandu,UA
3396,Pechenizhyn,FR
1144,Sallins,CU
3468,Alavus,NZ
4901,Xinhe,FI
5113,Ivouani,CA
4527,Vyazniki,FR
2463,Dordrecht,MD
3834,Zabrat,AU
2135,Heiiyugou,MM
4121,Dikirnis,MX
2241,Anseong,KZ
3115,Garnich,VE
4218,Bibrka,PL
3064,Youyang,MG
3411,Mangochi,NG
3551,Xingren,PL
3170,Sintansin,ID
4560,Oslo,ID
2469,Urug,LT
3280,Zhangfeng,HR
2295,Calasgasan,KW
5327,Huasta,UK
